ds	y	오픈	고가	저가	거래량	변동폭
2019년 5월	2,061.25	2,192.94	2,217.03	2,051.69	-	-6.46%
2019년 4월	2,203.59	2,153.31	2,252.05	2,153.31	9.69B	2.94%
2019년 3월	2,140.67	2,210.97	2,216.02	2,120.93	6.46B	-2.49%
2019년 2월	2,195.44	2,211.93	2,241.76	2,167.36	6.88B	-0.43%
2019년 1월	2,204.85	2,050.55	2,222.88	1,984.53	9.46B	8.03%
2018년 12월	2,041.04	2,127.78	2,136.64	2,014.28	7.63B	-2.66%
2018년 11월	2,096.86	2,035.11	2,136.74	2,023.43	6.98B	3.31%
2018년 10월	2,029.69	2,349.64	2,352.11	1,985.95	7.02B	-13.37%
2018년 9월	2,343.07	2,317.93	2,356.62	2,264.90	5.43B	0.87%
2018년 8월	2,322.88	2,301.17	2,322.88	2,218.09	6.20B	1.20%
2018년 7월	2,295.26	2,322.23	2,327.59	2,243.90	7.51B	-1.33%
2018년 6월	2,326.13	2,419.63	2,479.56	2,296.39	9.45B	-4.00%
2018년 5월	2,423.01	2,515.75	2,516.57	2,399.58	12.82B	-3.67%
2018년 4월	2,515.38	2,454.72	2,515.38	2,405.91	10.44B	2.84%
2018년 3월	2,445.85	2,406.57	2,508.71	2,374.80	8.08B	0.76%
2018년 2월	2,427.36	2,578.91	2,583.74	2,346.73	7.28B	-5.42%
2018년 1월	2,566.46	2,474.86	2,607.10	2,465.94	8.25B	4.01%
2017년 12월	2,467.49	2,488.92	2,514.61	2,411.48	5.75B	-0.36%
2017년 11월	2,476.37	2,535.97	2,561.63	2,474.28	7.47B	-1.86%
2017년 10월	2,523.43	2,425.63	2,528.32	2,421.10	5.05B	5.39%
2017년 9월	2,394.47	2,367.45	2,429.12	2,314.31	5.84B	1.32%
2017년 8월	2,363.19	2,397.12	2,434.47	2,310.20	5.72B	-1.64%
2017년 7월	2,402.71	2,397.66	2,453.17	2,372.83	6.23B	0.46%
2017년 6월	2,391.79	2,348.31	2,402.80	2,335.63	7.48B	1.89%
